
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,20,VIR,ABA,SG,30,,689,161,341,.472,6,26,.231,155,315,.492,96,118,.814,34,94,128,34,,,54,72,424
1973-74 ★,21,TOT,ABA,SG-SF,74,,2511,672,1426,.471,8,56,.143,664,1370,.485,378,464,.815,170,454,624,142,101,120,252,264,1730
1973-74 ★,21,VIR,ABA,SG,49,,1728,487,1031,.472,8,50,.160,479,981,.488,262,328,.799,108,310,418,97,75,86,188,166,1244
1973-74 ★,21,SAA,ABA,SF,25,,783,185,395,.468,0,6,.000,185,389,.476,116,136,.853,62,144,206,45,26,34,64,98,486
1974-75 ★,22,SAA,ABA,SF,84,,3113,784,1655,.474,17,55,.309,767,1600,.479,380,458,.830,247,450,697,207,131,138,249,295,1965
1975-76 ★,23,SAA,ABA,SF,81,,2748,706,1414,.499,14,55,.255,692,1359,.509,342,399,.857,179,367,546,201,110,119,217,288,1768
1976-77 ★,24,SAS,NBA,SF,82,,2705,726,1335,.544,,,,726,1335,.544,443,532,.833,134,320,454,238,105,104,,286,1895
1977-78 ★,25,SAS,NBA,SG,82,,2857,864,1611,.536,,,,864,1611,.536,504,607,.830,118,302,420,302,136,110,306,255,2232
1978-79 ★,26,SAS,NBA,SF,80,,2888,947,1749,.541,,,,947,1749,.541,471,570,.826,142,258,400,219,137,91,286,275,2365
1979-80 ★,27,SAS,NBA,SG,78,,2934,1024,1940,.528,32,102,.314,992,1838,.540,505,593,.852,154,249,403,202,110,79,254,208,2585
1980-81 ★,28,SAS,NBA,SG,82,,2765,850,1729,.492,9,35,.257,841,1694,.496,512,620,.826,126,293,419,260,94,56,251,212,2221
1981-82 ★,29,SAS,NBA,SG,79,79,2817,993,1987,.500,10,36,.278,983,1951,.504,555,642,.864,138,254,392,187,77,45,210,215,2551
1982-83 ★,30,SAS,NBA,SG,78,78,2830,757,1553,.487,12,33,.364,745,1520,.490,517,606,.853,111,246,357,264,88,67,247,243,2043
1983-84 ★,31,SAS,NBA,SG,76,76,2584,765,1561,.490,10,24,.417,755,1537,.491,427,507,.842,106,207,313,220,79,47,224,219,1967
1984-85 ★,32,SAS,NBA,SG,72,69,2091,600,1182,.508,0,10,.000,600,1172,.512,324,384,.844,79,155,234,178,66,48,198,208,1524
1985-86,33,CHI,NBA,SG,82,75,2065,519,1100,.472,4,19,.211,515,1081,.476,283,322,.879,78,137,215,144,49,23,161,210,1325
Career,,,TOT,,1060,377,35597,10368,20583,.504,122,451,.271,10246,20132,.509,5737,6822,.841,1816,3786,5602,2798,1283,1047,2909,3250,26595
,,,NBA,,791,377,26536,8045,15747,.511,77,259,.297,7968,15488,.514,4541,5383,.844,1186,2421,3607,2214,941,670,2137,2331,20708
,,,ABA,,269,,9061,2323,4836,.480,45,192,.234,2278,4644,.491,1196,1439,.831,630,1365,1995,584,342,377,772,919,5887
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 seasons,,SAASAS,NBA,,899,302,31115,9201,18111,.508,104,356,.292,9097,17755,.512,5096,6054,.842,1596,3245,4841,2523,1159,938,2506,2802,23602
1 season,,CHI,NBA,,82,75,2065,519,1100,.472,4,19,.211,515,1081,.476,283,322,.879,78,137,215,144,49,23,161,210,1325
2 seasons,,VIR,ABA,,79,,2417,648,1372,.472,14,76,.184,634,1296,.489,358,446,.803,142,404,546,131,75,86,242,238,1668
