
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989-90,23,POR,NBA,PF,82,0,1565,298,751,.397,12,44,.273,286,707,.405,138,251,.550,110,198,308,72,53,53,129,226,746
1990-91,24,POR,NBA,PF,82,11,1940,373,806,.463,6,19,.316,367,787,.466,205,314,.653,123,226,349,151,78,76,133,263,957
1991-92,25,POR,NBA,SF,82,7,2124,398,854,.466,1,11,.091,397,843,.471,219,330,.664,140,276,416,137,85,107,154,274,1016
1992-93,26,POR,NBA,PF,82,12,2575,632,1336,.473,19,77,.247,613,1259,.487,287,416,.690,165,377,542,182,98,163,173,287,1570
1993-94 ★,27,POR,NBA,C,82,64,2853,641,1404,.457,13,53,.245,628,1351,.465,352,460,.765,164,386,550,159,118,111,169,263,1647
1994-95,28,POR,NBA,SF,75,73,2725,597,1320,.452,142,383,.371,455,937,.486,265,382,.694,152,271,423,198,79,82,158,240,1601
1995-96,29,POR,NBA,SF,78,76,2980,553,1306,.423,178,471,.378,375,835,.449,360,542,.664,123,320,443,190,86,68,194,248,1644
1996-97,30,POR,NBA,SF,81,79,3077,444,1043,.426,121,350,.346,323,693,.466,215,309,.696,90,231,321,261,99,66,172,251,1224
1997-98,31,PHO,NBA,SF,80,64,2359,429,895,.479,27,84,.321,402,811,.496,248,360,.689,152,258,410,170,92,90,140,249,1133
1998-99,32,PHO,NBA,SF,50,35,1740,299,629,.475,58,139,.417,241,490,.492,163,234,.697,69,158,227,128,75,59,88,153,819
1999-00,33,PHO,NBA,SF,80,67,2839,530,1142,.464,120,324,.370,410,818,.501,298,381,.782,105,254,359,224,90,61,166,239,1478
2000-01,34,PHO,NBA,PF,82,82,2751,501,1186,.422,90,249,.361,411,937,.439,253,357,.709,105,229,334,237,87,82,186,258,1345
2001-02,35,DET,NBA,PF,80,80,2855,454,1069,.425,115,304,.378,339,765,.443,143,206,.694,79,307,386,202,89,95,151,243,1166
2002-03,36,DET,NBA,PF,81,69,2825,372,935,.398,87,259,.336,285,676,.422,161,238,.676,81,237,318,268,87,88,158,259,992
2003-04,37,GSW,NBA,PF,82,82,2846,366,945,.387,112,314,.357,254,631,.403,123,173,.711,54,268,322,271,68,73,173,237,967
2004-05,38,TOT,NBA,C-PF,71,29,1689,202,523,.386,67,193,.347,135,330,.409,62,97,.639,54,155,209,104,62,53,66,181,533
2004-05,38,GSW,NBA,C,42,29,1090,141,354,.398,42,127,.331,99,227,.436,35,58,.603,31,83,114,74,44,39,41,107,359
2004-05,38,NJN,NBA,PF,29,0,599,61,169,.361,25,66,.379,36,103,.350,27,39,.692,23,72,95,30,18,14,25,74,174
2005-06,39,NJN,NBA,PF,80,13,1863,219,513,.427,60,175,.343,159,338,.470,52,79,.658,55,212,267,89,44,40,62,206,550
2006-07,40,NJN,NBA,C,50,1,955,81,218,.372,25,66,.379,56,152,.368,16,36,.444,31,91,122,51,12,23,30,98,203
Career,,,NBA,,1380,844,42561,7389,16875,.438,1253,3515,.356,6136,13360,.459,3560,5165,.689,1852,4454,6306,3094,1402,1390,2502,4175,19591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,POR,NBA,,644,322,19839,3936,8820,.446,492,1408,.349,3444,7412,.465,2041,3004,.679,1067,2285,3352,1350,696,726,1282,2052,10405
4 seasons,,PHO,NBA,,292,248,9689,1759,3852,.457,295,796,.371,1464,3056,.479,962,1332,.722,431,899,1330,759,344,292,580,899,4775
2 seasons,,DET,NBA,,161,149,5680,826,2004,.412,202,563,.359,624,1441,.433,304,444,.685,160,544,704,470,176,183,309,502,2158
3 seasons,,NJN,NBA,,159,14,3417,361,900,.401,110,307,.358,251,593,.423,95,154,.617,109,375,484,170,74,77,117,378,927
2 seasons,,GSW,NBA,,124,111,3936,507,1299,.390,154,441,.349,353,858,.411,158,231,.684,85,351,436,345,112,112,214,344,1326
