
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1968-69 ★,23,SDR,NBA,C,82,,3695,930,2082,.447,,,,930,2082,.447,467,746,.626,,,1406,113,,,,266,2327
1969-70 ★,24,SDR,NBA,C,82,,3665,914,2020,.452,,,,914,2020,.452,428,622,.688,,,1386,162,,,,270,2256
1970-71 ★,25,SDR,NBA,C,82,,3633,948,2215,.428,,,,948,2215,.428,454,676,.672,,,1362,186,,,,225,2350
1971-72 ★,26,HOU,NBA,C,82,,3461,832,1918,.434,,,,832,1918,.434,399,615,.649,,,1197,270,,,,233,2063
1972-73 ★,27,BAL,NBA,PF,81,,3347,713,1607,.444,,,,713,1607,.444,291,434,.671,,,1177,127,,,,232,1717
1973-74 ★,28,CAP,NBA,PF,81,,3602,689,1627,.423,,,,689,1627,.423,357,495,.721,354,1109,1463,163,86,240,,252,1735
1974-75 ★,29,WSB,NBA,PF,82,,3465,739,1668,.443,,,,739,1668,.443,409,534,.766,221,783,1004,206,158,187,,238,1887
1975-76 ★,30,WSB,NBA,PF,80,,2975,649,1381,.470,,,,649,1381,.470,287,457,.628,210,668,878,121,104,202,,293,1585
1976-77 ★,31,WSB,NBA,PF,82,,3364,760,1516,.501,,,,760,1516,.501,422,614,.687,289,740,1029,158,87,220,,312,1942
1977-78 ★,32,WSB,NBA,PF,81,,3246,636,1409,.451,,,,636,1409,.451,326,514,.634,335,740,1075,149,96,159,229,313,1598
1978-79 ★,33,WSB,NBA,PF,82,,3105,720,1477,.487,,,,720,1477,.487,349,534,.654,312,682,994,143,75,190,235,308,1789
1979-80 ★,34,WSB,NBA,PF,81,,3183,761,1677,.454,3,13,.231,758,1664,.456,334,478,.699,269,627,896,129,62,189,215,309,1859
1980-81,35,WSB,NBA,PF,81,,2931,584,1296,.451,0,10,.000,584,1286,.454,271,439,.617,235,554,789,98,68,171,189,300,1439
1981-82,36,HOU,NBA,PF,82,82,3032,519,1100,.472,0,5,.000,519,1095,.474,280,422,.664,267,480,747,144,62,104,208,287,1318
1982-83,37,HOU,NBA,PF,81,43,2302,424,890,.476,2,4,.500,422,886,.476,196,287,.683,199,417,616,158,50,81,200,232,1046
1983-84,38,HOU,NBA,PF,81,4,994,158,389,.406,0,2,.000,158,387,.408,86,132,.652,87,173,260,71,16,28,82,123,402
Career,,,NBA,,1303,129,50000,10976,24272,.452,5,34,.147,10971,24238,.453,5356,7999,.670,2778,6973,16279,2398,864,1771,1358,4193,27313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 seasons,,BALCAPWSB,NBA,,731,,29218,6251,13658,.458,3,23,.130,6248,13635,.458,3046,4499,.677,2225,5903,9305,1294,736,1558,868,2557,15551
7 seasons,,SDRHOU,NBA,,572,129,20782,4725,10614,.445,2,11,.182,4723,10603,.445,2310,3500,.660,553,1070,6974,1104,128,213,490,1636,11762
